SK_ID_CURR,TARGET,AMT_INCOME_TOTAL,total_bureau_debt,debt_to_income,debt_ratio_percentile
363076,0,202500.0,334498331.20500004,1651.8436,1.0
308724,0,112500.0,43650000.0,388.0,0.9999967480732334
192716,0,202500.0,74487294.0,367.8385,0.9999934961464668
446029,0,225000.0,62218953.0,276.5287,0.9999902442197002
222673,0,135000.0,36577737.0,270.9462,0.9999869922929335
194550,0,157500.0,41816354.985,265.5007,0.999983740366167
314808,0,45000.0,10524231.0,233.8718,0.9999804884394004
367157,0,112500.0,25862972.94,229.8931,0.9999772365126337
192901,0,112500.0,25122323.16,223.3095,0.9999739845858672
446366,0,180000.0,39712962.87,220.6276,0.9999707326591005
